"FM","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","IS_CREDITABLE"
"FM","01","0","0311663997553","9","2016","09/09/2016","019142280901000","CV PRADIPA ASRI KARYA","JL.PADANG ASRI X / 2, PADANG SAMBIAN KELOD , DENPASAR","3361768","336176","0","1"
"FM","03","0","0331616756316","9","2016","01/09/2016","317493021411000","PT JEMBATAN KOMUNIKA INDONESIA","RUKO GOLDEN ROAD C.32/19 RT. 000 RW. 000 , TANGERANG SELATAN","65000000","6500000","0","1"
"FM","03","0","0331616756319","9","2016","08/09/2016","317493021411000","PT JEMBATAN KOMUNIKA INDONESIA","RUKO GOLDEN ROAD C.32/19 RT. 000 RW. 000 , TANGERANG SELATAN","65000000","6500000","0","1"
"FM","01","0","0311668429568","9","2016","26/07/2016","029653375911000","PT SEJAHTERA MANDIRI BERSAMA","JL. GOTONG ROYONG NO. 9D LINGK. OTAK DESA DAYAN PEKEN , KODYA MATARAM","258255","25825","0","1"
"FM","01","0","0331634046663","9","2016","26/07/2016","029653375911000","PT SEJAHTERA MANDIRI BERSAMA","JL. GOTONG ROYONG NO. 9D LINGK. OTAK DESA DAYAN PEKEN , KODYA MATARAM","8232686","823268","0","1"
"FM","01","0","0331634046664","9","2016","26/07/2016","029653375911000","PT SEJAHTERA MANDIRI BERSAMA","JL. GOTONG ROYONG NO. 9D LINGK. OTAK DESA DAYAN PEKEN , KODYA MATARAM","2245278","224527","0","1"
"FM","01","0","0321686610345","9","2016","01/09/2016","315474908606000","PT MECOMP PUTERA SEJAHTERA","NGAGEL JAYA INDAH B-73 RT. 0 RW. 0 , SURABAYA","625000","62500","0","1"
"FM","01","0","0331683803320","9","2016","13/09/2016","312191950903000","PT SURYA JAYA DEWATA","JL. DRUPADI NO. 88 DENPASAR RT.0 RW.0, SUMERTA KLOD , DENPASAR","1200000","120000","0","1"
"FM","03","0","0331683021751","9","2016","06/09/2016","013042197073000","PT BINAMAN UTAMA","JL MENTENG RAYA NO 9, KEBON SIRIH , JAKARTA PUSAT","120750000","12075000","0","1"
"FM","01","0","0331683803319","9","2016","13/09/2016","312191950903000","PT SURYA JAYA DEWATA","JL. DRUPADI NO. 88 DENPASAR RT.0 RW.0, SUMERTA KLOD , DENPASAR","1200000","120000","0","1"
"FM","03","0","0301685506299","9","2016","02/09/2016","013069083028000","PT INDULEXCO","JL ABDUL MUIS 42, PETOJO SELATAN , JAKARTA PUSAT","118181818","11818181","0","1"
"FM","03","1","0311680753752","9","2016","13/09/2016","026171009063000","PT BRAZADI TATA INDONESIA","GD. MENARA KADIN INDONESIA LT.30 JL.HR RASUNA SAID BLOK X-5 KAV.2-3 , JAKARTA SELATAN","140700000","14070000","0","1"
"FM","03","0","0321696342115","9","2016","02/09/2016","011266632911000","CV UTAMA","JL. DUKUH SALEH NO. 36 PEJERUK , KODYA MATARAM","215909090","21590909","0","1"
"FM","03","0","0331665791786","9","2016","05/09/2016","715718359915000","CV REKAYASA DESIGN INDONESIA","JL. COKLAT II BLOK H NO.21 PERUMAHAN LINGKAR ASRI DUSUN BAJUR INDUK, BAJUR , LOMBOK BARAT","65454545","6545454","0","1"
"FM","03","0","0331675337514","9","2016","01/09/2016","669485328911000","PT HASTA BHUANA LOMBOK","JL PRAMUKA NO 16X RT 00 RW 00, MATARAM BARAT , KOTA MATARAM","87531636","8753163","0","1"
"FM","01","0","0331651221843","9","2016","08/10/2016","311896856903000","PT PRISMA ELEKTRIKA BALI","JL. PUNGUTAN 66 RT.0 RW.0, SANUR , DENPASAR","4900000","490000","0","1"
"FM","03","0","0331616756328","9","2016","03/10/2016","317493021411000","PT JEMBATAN KOMUNIKA INDONESIA","RUKO GOLDEN ROAD C.32/19 RT. 000 RW. 000 , TANGERANG SELATAN","65000000","6500000","0","1"
"FM","07","1","0311680753752","9","2016","02/09/2016","026171009063000","PT BRAZADI TATA INDONESIA","GD. MENARA KADIN INDONESIA LT.30 JL.HR RASUNA SAID BLOK X-5 KAV.2-3 , JAKARTA SELATAN","140700000","0","0","0"
"FM","03","0","0331675337513","9","2016","01/09/2016","669485328911000","PT HASTA BHUANA LOMBOK","JL PRAMUKA NO 16X RT 00 RW 00, MATARAM BARAT , KOTA MATARAM","36160000","3616000","0","1"
"FM","03","0","0331675337512","9","2016","01/09/2016","669485328911000","PT HASTA BHUANA LOMBOK","JL PRAMUKA NO 16X RT 00 RW 00, MATARAM BARAT , KOTA MATARAM","21882909","2188290","0","1"
"FM","03","0","0331693343574","9","2016","21/09/2016","317113082432000","PT INFONINDO GRAHA SARANA","GRAND GALAXY CITY JL. PULO SIRIH BARAT RAYA RGM-3 RT. 002 RW. 015, JAKASETIA , KOTA BEKASI","55239091","5523909","0","1"
"FM","03","0","0331648548097","9","2016","30/09/2016","714084407915000","CV VEROS TEHNIK CONSULTAN","JL. SULAWESI LINGK. KAUMAN NO 12, PRAYA , LOMBOK TENGAH","4991818","499181","0","1"
"FM","03","0","0341600300587","9","2016","22/09/2016","317985836915000","CV LOMBOK REAL HOLIDAY","JL. PERKUTUT NO.04 BTN PEPABRI RENTENG RT. 006 RW. 000 , LOMBOK TENGAH","9008955","900895","0","1"
"FM","03","1","0011619184046","9","2016","09/09/2016","021138201611000","CV SUPOYO, SUPOYO, & SUTJAHJO","SIMPANG DUKUH KOMP. ANDHIKA PLASA BLOK.C 3-4 NO 38-40 RT.002 RW.009, KAPASARI , SURABAYA","79636364","7963636","0","1"
"FM","03","0","0321602255123","9","2016","30/09/2016","031167273915000","CV GRHA PRATAMA INTI","BTN BERMIS GANG DURIAN NO 4 RT.002 RW.001, LENENG , LOMBOK TENGAH","69225000","6922500","0","1"
"FM","03","0","0321602255122","9","2016","30/09/2016","031167273915000","CV GRHA PRATAMA INTI","BTN BERMIS GANG DURIAN NO 4 RT.002 RW.001, LENENG , LOMBOK TENGAH","32250000","3225000","0","1"
"FM","03","1","0331698150374","9","2016","27/09/2016","721422731914000","CV MASTER","JL. JAYENGRANA NO 07 , KOTA MATARAM","21286342","2128634","0","1"
"FM","03","0","0331643857047","9","2016","02/09/2016","025040197013000","PERSEK KJPP. ANAS KARIM RIVAI & REKAN","JL.RAYA KEBAYORAN LAMA BLOK A NO.11A RT.010 RW.001, GROGOL SELATAN , JAKARTA SELATAN","18260000","1826000","0","1"
"FM","03","1","0311622058466","9","2016","14/09/2016","015932627017000","PT INDOAEROKHARISMA","JL. RAYA PASAR MINGGU NO 5 F RT 009 RW 001 , JAKARTA SELATAN","35454545","3545455","0","1"
"FM","03","0","0331694233609","9","2016","16/09/2016","757495106911000","CV ORBIT","JL. MADIUN LK. TAMAN BARU NO 09 RT 001 RW 292, PAGESANGAN TIMUR , KOTA MATARAM","21700000","2170000","0","1"
"FM","01","0","0331634046699","9","2016","15/09/2016","029653375911000","PT SEJAHTERA MANDIRI BERSAMA","JL. GOTONG ROYONG NO. 9D LINGK. OTAK DESA DAYAN PEKEN , KODYA MATARAM","258255","25826","0","1"
"FM","01","0","0331634046698","9","2016","15/09/2016","029653375911000","PT SEJAHTERA MANDIRI BERSAMA","JL. GOTONG ROYONG NO. 9D LINGK. OTAK DESA DAYAN PEKEN , KODYA MATARAM","2245278","224528","0","1"
"FM","03","0","0331683012980","9","2016","05/09/2016","032025736911000","CV INDO MEDIA","JL BUNGKARNO NO 100XX (MATARAM TENDA) , KOTA MATARAM","32006000","3200600","0","1"
"FM","03","0","0331632088085","9","2016","26/09/2016","013877964073000","PT JURNALINDO AKSARA GRAFIKA","WISMA BISNIS INDONESIA LT.5 JL.KH.MAS MANSYUR 12A, KARET TENGSIN , JAKARTA PUSAT","12320000","1232000","0","1"
